Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,u1,C_0402_1005Metric,125.25,-92.3,0.0,top
C10,u1,C_0402_1005Metric,125.4,-84.04,0.0,top
C11,2u2,C_0402_1005Metric,121.2,-98.0,0.0,top
C12,1u,C_0402_1005Metric,125.4,-85.01,0.0,top
C13,2u2,C_0402_1005Metric,110.76,-79.12,90.0,top
C14,u1,C_0402_1005Metric,128.2,-84.6,180.0,top
C15,1u,C_0402_1005Metric,126.8,-83.65,-90.0,top
C16,u1,C_0402_1005Metric,133.3,-105.525,-90.0,top
C17,22p,C_0402_1005Metric,128.1,-70.4,45.0,top
C18,10n,C_0402_1005Metric,126.525,-76.5,180.0,top
C19,22p,C_0402_1005Metric,130.1,-70.1,135.0,top
C2,u1,C_0402_1005Metric,125.45,-89.65,0.0,top
C20,1u,C_0402_1005Metric,126.5,-73.62,90.0,top
C21,n47,C_0402_1005Metric,127.45,-73.62,90.0,top
C22,10n,C_0402_1005Metric,132.425,-79.775,-90.0,top
C23,10n,C_0402_1005Metric,133.55,-74.3,45.0,top
C24,10u,C_0805_2012Metric,135.375,-80.15,-90.0,top
C27,u1/35V,C_0805_2012Metric,82.075,-92.8,-90.0,top
C28,10u/35V,C_0805_2012Metric,80.075,-92.8,-90.0,top
C29,u1/16V,C_0402_1005Metric,78.575,-98.65,0.0,top
C3,u1,C_0402_1005Metric,108.5,-105.8,0.0,top
C30,56p,C_0402_1005Metric,90.575,-89.975,0.0,top
C31,22u,C_0805_2012Metric,92.525,-93.5,0.0,top
C32,22u,C_0805_2012Metric,92.525,-91.5,0.0,top
C33,10u,C_0805_2012Metric,88.425,-83.625,180.0,top
C34,22u,C_0805_2012Metric,88.425,-81.325,180.0,top
C35,u1,C_0402_1005Metric,97.95,-104.8,-90.0,top
C36,u1/50V,C_0805_2012Metric,157.664042,-109.1375,180.0,top
C37,u1/50V,C_0805_2012Metric,170.526542,-108.65,180.0,top
C38,u1,C_0402_1005Metric,150.514042,-107.5625,90.0,top
C39,u1,C_0402_1005Metric,162.364042,-108.3375,90.0,top
C4,u1,C_0402_1005Metric,122.45,-79.45,0.0,top
C40,u1/35V,C_0805_2012Metric,148.364042,-114.1375,180.0,top
C41,u1/35V,C_0805_2012Metric,161.164042,-114.1375,180.0,top
C42,u1/35V,C_0805_2012Metric,157.364042,-114.1375,0.0,top
C43,u1/35V,C_0805_2012Metric,170.164042,-114.1375,0.0,top
C44,2u2,C_0402_1005Metric,154.064042,-107.6375,180.0,top
C45,22n/50V,C_0402_1005Metric,156.464042,-111.0375,90.0,top
C46,2u2,C_0402_1005Metric,166.464042,-107.4375,180.0,top
C47,22n/50V,C_0402_1005Metric,169.264042,-110.9375,90.0,top
C48,22u/35V,C_0805_2012Metric,159.275,-116.3,180.0,top
C49,22u/35V,C_0805_2012Metric,159.364042,-111.7375,0.0,top
C5,u1,C_0402_1005Metric,109.46,-79.09,90.0,top
C50,22u/35V,C_0805_2012Metric,147.164042,-117.0375,90.0,top
C51,22u/35V,C_0805_2012Metric,171.226542,-111.4,90.0,top
C52,100uF,CP_Elec_6.3x7.7,146.026542,-107.05,270.0,top
C53,100uF,CP_Elec_6.3x7.7,173.676542,-104.05,270.0,top
C54,u1,C_0402_1005Metric,161.275,-67.925,0.0,top
C55,10u,C_0805_2012Metric,162.65,-65.0,0.0,top
C56,u1,C_0402_1005Metric,148.36,-77.91,-90.0,top
C57,u1,C_0402_1005Metric,154.475,-68.975,0.0,top
C58,22n/50V,C_0402_1005Metric,196.275606,-73.0,90.0,top
C59,u1,C_0402_1005Metric,157.97,-83.05,180.0,top
C6,u1,C_0402_1005Metric,107.86,-96.13,-90.0,top
C60,10u,C_0805_2012Metric,160.3,-74.85,90.0,top
C61,u1,C_0402_1005Metric,112.2,-100.475,45.0,top
C62,u1,C_0402_1005Metric,170.6205,-77.488414,180.0,top
C63,u1,C_0402_1005Metric,210.074489,-85.775,0.0,top
C64,u1,C_0402_1005Metric,209.699489,-91.4,0.0,top
C65,u1,C_0402_1005Metric,206.875095,-94.8,180.0,top
C66,u1,C_0402_1005Metric,201.729489,-94.9,0.0,top
C67,u1,C_0402_1005Metric,197.774489,-92.455,-90.0,top
C68,n47,C_0402_1005Metric,197.200095,-88.075,180.0,top
C69,1u,C_0402_1005Metric,197.000095,-89.0,180.0,top
C7,u1,C_0402_1005Metric,123.02,-96.6,0.0,top
C70,u1,C_0402_1005Metric,197.200095,-87.15,180.0,top
C71,1u,C_0402_1005Metric,204.849489,-81.7,90.0,top
C72,u1,C_0402_1005Metric,208.124489,-83.4,0.0,top
C73,u1,C_0402_1005Metric,214.275,-73.275,90.0,top
C74,u1,C_0402_1005Metric,198.275095,-83.8,90.0,top
C75,22n/50V,C_0402_1005Metric,141.375,-73.15,90.0,top
C76,u1/35V,C_0805_2012Metric,182.526542,-106.35,180.0,top
C77,10p,C_0402_1005Metric,194.325095,-83.925,45.0,top
C78,10p,C_0402_1005Metric,194.250095,-86.6,135.0,top
C79,u1,C_0402_1005Metric,202.074489,-82.675,90.0,top
C8,u1,C_0402_1005Metric,106.9,-96.14,-90.0,top
C80,10u/35V,C_0805_2012Metric,182.526542,-108.35,180.0,top
C81,u1,C_0402_1005Metric,203.924489,-82.675,90.0,top
C82,1u,C_0402_1005Metric,201.149489,-81.775,90.0,top
C83,1u,C_0402_1005Metric,202.999489,-83.075,90.0,top
C84,u1/16V,C_0402_1005Metric,178.726542,-103.2,0.0,top
C85,u1,C_0402_1005Metric,210.199489,-96.85,-90.0,top
C86,u1,C_0402_1005Metric,203.225095,-95.25,-90.0,top
C87,u1,C_0402_1005Metric,209.085095,-89.45,90.0,top
C88,56p,C_0402_1005Metric,183.451542,-115.525,-90.0,top
